requirements,opportunity_id,content_id,summary,category_description,title,display_url,recurrence_type,street_address,2nd_address,city,state,postcode,country,website,borough,latitude,longitude,location,community_board,council_district,census_tract,bin,bbl,nta
,Volunteer! Theater program for Homeless Children,"<p> </p> <p><strong>Volunteer in award-winning theatre and education program for homeless children!</strong></p> <p> </p> <p>Join our volunteer corps and make a meaningful contribution to our community through a variety of award-winning programs at The Actors Theatre Workshop. Use your talents, expertise and commitment to truly make a difference!</p> <p> </p> <p>Learn about our innovative volunteer program and our award-winning after-school Theatre and Education Program for Homeless Children, The Builders of the New World! To RSVP, fill out an online application at http://www.actorstheatreworkshop.com/bnw/index.html and we will reserve a place for you! For additional information call/email us at 212.947.1386 ext.0 outreach@actorstheatreworkshop.com</p> <p> </p> <p>IMPORTANT: In response to the overwhelming number of applicants who wish to be considered for the upcoming program, the Info Session will also include an Application and Interview Session. We will extend the Information Session until everyone has completed their interview. Please plan ample time to complete this process.</p> <p> </p> <p>Thank you!</p>","Learn about our innovative volunteer program and our award-winning after-school Theatre and Education Program for Homeless Children, The Builders of the New World!",,"The Actors Theatre Workshop, Inc.",/opportunities/7611,ongoing,NYU Langone Hospital-Brooklyn,155 55th Street,Brooklyn,NY,11220,US,http://www.NYUlangone.org/volunteer,,,,,,,,,,
"<p><strong>To register</strong>, please contact the appropriate Volunteer Manager below for a required pre-training phone interview.</p> <ul> <li><strong>Queens</strong>: Gail Sirota, 917.232.1818 / <a href=""mailto:Gail.Sirota@vnsny.org"">Gail.Sirota@vnsny.org</a></li> <li><strong>Brooklyn</strong>: Melissa Cambio, 646.706.6951 / <a href=""mailto:Melissa.Ferrari@vnsny.org"">Melissa.Cambio@vnsny.org</a></li> <li><strong>Staten Island</strong>: Melissa Cambio, 646.706.6951 / <a href=""mailto:Melissa.Ferrari@vnsny.org"">Melissa.Cambio@vnsny.org</a></li> <li><strong>Bronx</strong>: Alison Reynoso, 347.753.7687 / <a href=""mailto:Alison.Reynoso@vnsny.org"">Alison.Reynoso@vnsny.org</a></li> <li><strong>Manhattan</strong> <strong>(Lower East Side):</strong> Melissa Cambio, 646.706.6951 / <a href=""mailto:Melissa.Ferrari@vnsny.org"">Melissa.Cambio@vnsny.org</a></li> <li><strong>Manhattan</strong> <strong>(Upper East Side)</strong>: Mike Providence, 212.946.9235 / <a href=""mailto:Alison.Reynoso@vnsny.org"">Michael.Providence@vnsny.org</a></li> <li><strong>Manhattan (Lower West Side &amp; Upper West Side)</strong>: Gail Sirota, 917.232.1818 / <a href=""mailto:Gail.Sirota@vnsny.org"">Gail.Sirota@vnsny.org</a></li> </ul> <p><strong><u>General Requirements for VNSNY Hospice Volunteering</u></strong></p> <ul> <li> <p>Initial phone interview.</p> </li> <li> <p>Completed Application (provided at training) and additional paperwork.</p> </li> </ul> <ul> <li>Background Check.&nbsp; No cost to volunteer.</li> </ul> <ul> <li>Medical Clearance including updated immunizations (if needed), a flu shot &amp; drug test. These services are<strong> free for the volunteer.&nbsp; </strong>Details will be discussed at the training.</li> </ul> <ul> <li>Completion of the entire training session. &nbsp;Training classes are offered multiple times each year.&nbsp; Training takes place in our Manhattan office near Grand Central Station, though volunteer work may take place in any borough based on the volunteer&rsquo;s choice.</li> </ul> <ul> <li>Commitment to at least one hour per week of service for one year if you want to visit patients at home, and approximately two hours per week if you want to visit patients in a facility.&nbsp; This does not include travel time.</li> </ul> <ul> <li>Not be in a period of bereavement or expect to experience a significant loss within the next year.</li> </ul> <ul> <li>Follow up in-person interview.</li> </ul>",Hospice Care Volunteers - Visiting Nurse Service of New York,"<p>The VNSNY Hospice Care volunteer’s role is to be a supportive, caring person to the patient, caregiver and family. Our goal is to provide comfort, care and choice to our patients and their families during this difficult time in their lives. Some of the ways that volunteers help include friendly visits to the patients, calling caregivers and families to offer emotional support, reading, listening to music, playing games, knitting, helping patients write memoirs and more. Volunteers with special skills, such as singing, massaging, or hairstyling, are also needed. Bilingual Volunteers are also needed in all boroughs. <br /> </p>","The VNSNY Hospice Care volunteer’s role is to be a supportive, caring person to the terminally ill patient, caregiver and family. Our goal is to provide comfort, care and choice to our patients and their families during this difficult time in their lives.",,Visiting Nurse Service of New York Hospice and Palliative Care,/opportunities/7836,ongoing,131 Beach 19th St,,Far Rockaway,NY,11691,US,http://www.actorstheatreworkshop.com,QUEENS,40.5938,-73.7532,POINT(-73.753207 40.593761),414,31,99802,4301622,4158100055,Far Rockaway-Bayswater
"<p>All medical center volunteers must have flexible schedules, ability to read and/or write English; Demonstrate Excellent customer service skills; proficient in Microsoft Suites; Positive attitude and ability to be a team player as well as ability to take direction and work independently.</p> <p>Bilingual in Chinese, Arabic, Spanish and English a Plus!</p> <p>&nbsp;</p>",- NYU Langone Hospital - Brooklyn and Family Health Center Volunteers,"<p>Provide clerical assistance with data entry, filing and general office support; Share nutritional information with children and families through our Super Sprowtz Story-telling program; Join our Reach Out and Read literacy program for young children.</p> <p>Share a smiling face and time while visiting a hospital patient or resident of our extended care facility; Assist with patient navigation of the hospital and general information; Answer telephones; Greet patients, families and other visitors.</p>","Varied volunteer opportunities for service that include: Friendly Visitors, Clerical,Information Desk , Literacy, Storytelling for children. Assist patients with registration, make follow-up visit telephone calls.",Health and Well-Being,NYU Langone Hospital-Brooklyn,/opportunities/7849,ongoing,"NYC - any borough - QNS, Manhattan, Bx, Bklyn, SI",,New York,NY,10001,US,http://www.actorstheatreworkshop.com,,,,,,,,,,
<p>We are seeking &nbsp;a personable and respectful individal.&nbsp;</p> <p>Experience with sound healing and health based murals or interests</p>,Volunteer for Sound Healing & Wellness Art in North Brooklyn,<p>Sound healing classes<br /> Wellness murals</p>,Sound healing classes Wellness murals,,Hosh Yoga,/opportunities/7968,ongoing,NYU Langone Hospital-Brooklyn,155 55th Street,Brooklyn,NY,11220,US,http://www.jasa.org/volunteer,,,,,,,,,,
"<p>Please complete the volunteer application: <a href=""https://docs.google.com/a/southbronxunited.org/forms/d/1FTFg3GhcXJyX9cLpHePzRtkwr-Yp4DPm_kxWx06R-qA/viewform"">Rec Coach</a></p>",Recreational Youth Soccer Coach,"<p><strong>Overview:</strong><br /> Rec League Coaches work with one team of girls and/or boys within the SBU Recreational Soccer League during Fall and/or Spring Seasons. Coaches run short practices and manage games for youth that compete against the other teams within the SBU league, which consists of 12 age groups and over 80 teams. Coaches not only share the joy of playing the sport, but also reinforce the values that sport helps develop (teamwork, discipline, respect, etc)</p> <p><strong>When:</strong></p> <ul> <li>Saturday morning/afternoon in Fall and/or Spring. Coaches volunteer a set 1.5-2 hour slot between 9am-5pm. The time slot is dependent on the age group being coached.</li> <li>Fall runs September 7 - November 23</li> <li>Spring runs mid-March - June</li> </ul> <p><strong>Where:</strong> (Coaches are only required to be at one site)</p> <ul> <li>Macomb's Dam Field: 161st St between River and Jerome Avenues. The field is on the South side of Yankee Stadium across from Gate 4.</li> <li>Mullaly Park: Jerome Avenue at 165th Street. Park is on the north side of Yankee Stadium</li> <li>Patterson Playground: 445 College Ave</li> </ul> <p><strong>Commitment:</strong></p> <ul> <li>Coaches must be able to commit to being present for at least a 1.5 hours every Saturday (excluding holiday weekends) during the season.</li> <li>One season commitment minimum, but two seasons is preferred.</li> <li>Coaches should understand they will be the point person for contact with families and players and willing to make phone calls home to ensure plays are aware of games/other important news.</li> </ul> <p><strong>Qualifications:</strong><br /> Previous soccer knowledge is not required, but enthusiasm for working with children is a necessity.</p> <p><strong>Training:</strong><br /> We will provide volunteers with orientation materials, coaching training, and a coaching manual. A formal orientation/ training will be held prior to each season. Coaches will be assigned to age groups (age 4-19) based on experience, availability, and preference.</p> <p><strong>Benefits:</strong><br /> In addition to helping provide the resources and support to allow under-resourced youth the opportunity to participate in an organized sport, coaches will have opportunities for professional coaching trainings and will be connected to a network of caring volunteers for fun soccer related events throughout the year.</p> <p>NYCYM</p>","South Bronx United is looking for caring, energetic, and committed volunteers to coach in its Youth Soccer Recreational League",Health and Well-Being,South Bronx United,/opportunities/8004,ongoing,55 nassau ave,1c,brooklyn,NY,11222,US,http://www.vnsny.org/community/support-vnsny/hospice-volunteer-opportunities/,BROOKLYN,40.7233,-73.9522,POINT(-73.952205 40.72332),301,33,569,3066006,3026440045,Greenpoint
"<p>Required Business Experience:</p> <p>In business for at least three years with annual business sales of $50,000 or more&nbsp; and/or&nbsp;expertise and five or more years in a specific business field, i.e. law, accounting, finance, marketing or human resources</p>",Discussion Leader,"<p><strong>Discussion Leaders</strong> introduce entrepreneurs to each aspect of managing a business. Using the case study method of instruction, Discussion Leaders facilitate conversations among eager participants to an understanding of the relevance of the particular business activity to the success of their own business.</p> <p>As a facilitator you are not teaching a class you are just managing conversation around the business topic and sharing your experiences as they relate to the experience.</p> <p><strong>A</strong>s a <strong>WIBO </strong>volunteer, you will find the rewards great and your talents well utilized. You select the topics, which you will facilitate as determined by your experience, knowledge, and interest. You also select the dates and locations where you wish to volunteer. You may choose to lead only one topic in one location, which is a time commitment of only one 90 minute session.</p>",WIBO continuously seeks out caring professionals and business owners who have an interest in sharing their knowledge in a variety of ways that range in time commitment and experience levels.,Communities and Neighbors,Workshop in Business Opportunities (WIBO),/opportunities/8210,ongoing,"Macomb's Dam Field, 161st St (Next to Yankee Stadium)",,Bronx,NY,10451,US,http://NYUlangone.org/volunteer,,,,,,,,,,
<p>Brooklyn residents preferred.&nbsp;</p>,Admin/Front desk volunteers,<p> </p> <p><strong>Front Desk/Admin work</strong></p> <p> </p> <ul> <li>Welcoming students to the studio and signing them into the system</li> <li>Collecting contributions</li> <li>Assisting new parents/students with registration</li> </ul> <p> </p> <p><strong>Studio maintenance</strong></p> <ul> <li>Cleaning cups</li> <li>filling water filters</li> <li>sweeping the floor</li> <li>tiding up the props and organizing the mats</li> </ul> <p> </p> <p><strong>Street Team and Promotion</strong></p> <ul> <li>promote the organization and related events in surrounding neighborhood</li> </ul> <p> </p> <p><strong>Web Design/Graphic Design</strong></p> <ul> <li>Editing the studio websites</li> <li>Creating flyers for studio</li> </ul> <p> </p>,"Assist a non profit yoga studio in administrative work, studio maintenance and website maintenance. Volunteer may be able to participate in Yoga at no cost. Nearby North Brooklyn/Queens Volunteers preferred. APPLY HERE:http://www.hoshyoga.org/volunteer/",Communities and Neighbors,Hosh Yoga,/opportunities/8233,ongoing,411 Lafayette St 6th Floor,,NY,NY,10003,US,http://NYUlangone.org/volunteer,MANHATTAN,40.7286,-73.9925,POINT(-73.992506 40.728594),102,2,57,1008771,1005440008,West Village
<p>Education and classroom background preferred</p>,Staff Development Coordinator,"<p>Hosh Kids is making a difference in making enrichment education a right of life rather than a luxury.</p> <p>A staff <a href=""http://www.wisegeek.com/what-does-a-development-coordinator-do.htm"">development coordinator</a> at Hosh Kids will monitor teacher progress with a focus on on-site professional development and feedback.</p> <p>A focus on helping both staff and management achieve the Hosh Kids mission.</p> <p>Working one-on-one guiding a particular member of the staff is key part of the role.</p> <p>We have programs in 11 locations with seven teachers. Teachers, we know you are out there. Join us!</p> <p>www.hoshkids.org</p>",Hosh Kids is making a difference in making enrichment education a right of life rather than a luxury. A staff development coordinator at Hosh Kids will monitor teacher progress with a focus on on-site professional development and feedback. www.hoshkids.org,Communities and Neighbors,Hosh Yoga,/opportunities/8381,ongoing,55 Nassau Ave,,NEW YORK,NY,11222,US,http://www.hoshyoga.org,BROOKLYN,40.7233,-73.9522,POINT(-73.952205 40.72332),301,33,569,3066006,3026440045,Greenpoint
,Board Member: Web Design/Graphic Design Volunteer,"<p>If you have more time rather than financial resources, we are offering the opportunity to be part of the Hosh community and contribute. Below are some of the ways you can volunteer.<br /> Web Design/Graphic Design<br /> Editing the studio websites<br /> Creating flyers for studio</p>","If you have more time rather than financial resources, we are offering the opportunity to be part of the Hosh community and contribute. Below are some of the ways you can volunteer. Web Design/Graphic Design Editing the studio websites Creating flyers for studio",Communities and Neighbors,Hosh Yoga,/opportunities/8382,ongoing,55 Nassau Ave,,Brooklyn,NY,11222,US,http://www.hoshyoga.org,BROOKLYN,40.7233,-73.9522,POINT(-73.952205 40.72332),301,33,569,3066006,3026440045,Greenpoint
<p>Must have a legal background and some experience with contracts.&nbsp;</p>,Board member needed: Lawyer For Kids Non-profit,"<p>Can you assist with independent contracts, school contracts, and 501 c 3 form?<br /> <br /> We'd love your help!<br /> <br /> Hosh Kids is a making enrichmen education accessible to all schools.<br /> <br /> www.hoshkids.org<br /> <br /> Join us!</p>","Can you assist with independent contracts, school contracts, and 501 c 3 forms? We'd love your help! Hosh Kids is a making enrichment education accessible to all schools.",Communities and Neighbors,Hosh Yoga,/opportunities/8383,ongoing,55 Nassau Ave,,Brooklyn,NY,11222,US,http://www.southbronxunited.org/,BROOKLYN,40.7233,-73.9522,POINT(-73.952205 40.72332),301,33,569,3066006,3026440045,Greenpoint
<p>Must have some grantwriting or fundraising experience.&nbsp;</p>,Board Member: Experienced Fundraiser,"<p><br /> Have experience raising funds for non-profits? Join us!</p> <p>Raise funds to faciliate operations and programming support for our non-profit that helps to provide provide a fair chance to explore healthier living for children through yoga, dance, meditation, workshops and strong community development in the Greenpoint and Williamsburg areas of Brooklyn, New York and beyond. As a grantwritier or fundraiser, you will mentor staff on funding streams.</p>",Enrichment education for children should be considered a right of life rather than a luxury. If you have experience raising funds for non-profits? Join us!,Health and Well-Being,Hosh Yoga,/opportunities/8384,ongoing,55 Nassau Ave,,Brooklyn,NY,11222,US,https://www.wibo.org,BROOKLYN,40.7233,-73.9522,POINT(-73.952205 40.72332),301,33,569,3066006,3026440045,Greenpoint
"<p>Send Availability<br /> Highly Qualified College students highly encouraged to apply<br /> Morning, afternoons, and evening schedules available. Submit availability</p>",Accounting Volunteers for kids non-profit,<p>Hosh Kids needs your help! As we make enrichment education for all children possible. We are looking for some enthusiastic volunteers to help us with our accounting.</p> <p><br /> </p> <p>www.hoshkids.org</p>,Hosh Kids needs your help! As we make enrichment education for all children possible. We are looking for some enthusiastic volunteers to help us with our accounting. www.hoshkids.org,Health and Well-Being,Hosh Yoga,/opportunities/8385,ongoing,55 Nassau Ave,,Brooklyn,NY,11222,US,https://www.wibo.org,BROOKLYN,40.7233,-73.9522,POINT(-73.952205 40.72332),301,33,569,3066006,3026440045,Greenpoint
"<p><br /> College students highly encouraged to apply.</p> <p><br /> Morning, afternoons, and evening schedules available. Submit availability</p>",PR & Marketing Volunteers,<p>Hosh Kids needs your help! As we make enrichment education for all children possible. We are looking for some enthusiastic volunteers to help us get the word out to schools and parents about our program.<br /> <br /> <br /> <br /> www.hoshkids.org</p>,Hosh Kids needs your help! As we make enrichment education for all children possible. We are looking for some enthusiastic volunteers to help us get the word out to schools and parents about our program.,Health and Well-Being,Hosh Yoga,/opportunities/8386,ongoing,55 Nassau Ave,,Brooklyn,NY,11222,US,http://hoshyoga.org,BROOKLYN,40.7233,-73.9522,POINT(-73.952205 40.72332),301,33,569,3066006,3026440045,Greenpoint
,Grant Writing/ Prospect Research Interns/Volunteers,<p><br /> <br /> This is an unpaid position. The intern will receive varied grant writing assignments in order to complete deadlines and submission applications. The intern will research and organize content for the non-profit and write in a variety of styles and story formats in accordance with grant guidelines. Flexible hours.<br /> <br /> The internship team will have weekly team meetings. Interns will organize a large community event in the summer. Non-profit resources will be available to support interns. Summer internships possible.<br /> <br /> Hours: 6-8 hours per week. 2 days a week. Some remote work possible.<br /> <br /> Free Yoga Classes.</p>,"Hosh is here to provide a fair chance to explore healthier living through yoga, meditation, workshops and strong community development in the Greenpoint and Williamsburg areas of Brooklyn, New York and beyond. Regularly scheduled classes are all donation-based",Health and Well-Being,Hosh Yoga,/opportunities/8387,ongoing,55 Nassau Ave,,Brooklyn,NY,11222,US,http://www.hoshkids.org,BROOKLYN,40.7233,-73.9522,POINT(-73.952205 40.72332),301,33,569,3066006,3026440045,Greenpoint
"<p>There will be one day of required volunteer training on Saturday, September 7, 2019. The first day of program is on Saturday, September 14, 2019.</p> <p>Application required.</p>",Arts and Crafts Volunteers,"<p><strong>Arts and Crafts</strong> volunteers are needed to assist participants in our Arts and Crafts Program. The youngsters with <strong>disabilities</strong> enjoy doing art projects which include painting, beading, murals, and various craft projects. Volunteers assist the <strong>children with disabilities</strong> and invent the projects.</p>","Arts and Crafts volunteers are needed to assist participants in our Arts and Crafts Program. The youngsters with disabilities enjoy doing art projects which include painting, beading, murals, and various craft projects. Volunteers assist the children with disabilities and invent the projects.",,Project HAPPY,/opportunities/8441,ongoing,55 Nassau Ave,,Brooklyn,NY,11222,US,http://www.hoshkids.org,BROOKLYN,40.7233,-73.9522,POINT(-73.952205 40.72332),301,33,569,3066006,3026440045,Greenpoint
<p>Email us! Info@hoshkids.org</p>,Creative Director/Photographer/Videographer,"<p><strong>Our Mission</strong></p> <p><em>Enrichment education as a right of life rather than a luxury.</em></p> <p>Hosh is here to provide a fair chance to explore healthier living for children through yoga, dance, meditation, workshops and strong community development in the Greenpoint and Williamsburg areas of Brooklyn, New York and beyond.</p> <p>We invite volunteers to support us in any of the following area:</p> <p>Creative Director</p> <p>Photographer/Videographer</p> <p>Hours: 3-6 hours per week. 2-3 days a week. Some remote work possible.</p> <p>Join us! Email us today Info@hoshkids.org</p>",Let's document Hosh Kids' enrichment work in public schools! Help us document and brand our impact as we bring more enrichment to more children all over NYC and beyond!,,Hosh Yoga,/opportunities/8442,ongoing,425 East 25th Street,,New York,NY,10010,US,http://www.hoshkids.org,MANHATTAN,40.7379,-73.9769,POINT(-73.97688 40.737878),106,4,62,1069579,1009620100,Murray Hill-Kips Bay
"<p>2-4 volunteers per night</p> <p>&nbsp;</p> <p>Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions</p> <p>&nbsp;</p> <p>The non-private sleeping areas are moderately noisy</p> <p>&nbsp;</p> <p>Volunteers may need to escort clients outside of Respite facility and may need to deal with outdoor</p> <p>weather conditions</p> <p>&nbsp;</p> <p>While performing the duties of this job, the volunteer is regularly required to sit, stand, walk, climb stairs, lift, reach with hands and arms, talk, hear, and use both close and distance vision</p> <p>&nbsp;</p> <p>The network is currently recruiting volunteers for the various sites.&nbsp; <strong>Volunteers are fully trained and provided with 24-hour staff support. The commitment asked of each volunteer is 7:00pm-7:00am. 1-4 nights per month.</strong></p> <p>&nbsp;</p> <p>&nbsp;</p>",Respite Bed Volunteer,"<p>Grand Central Neighborhood Social Services Corporation collaborates directly with the Emergency Shelter Network through community organizations, churches, synagogues and other places of worships to provide nightly respite beds to clients who are currently receiving case management services, concrete housing placement services and referrals to educational and vocational services. </p> <p> </p> <p><strong>ESSENTIAL DUTIES AND RESPONSIBILITIES FOR VOLUNTEERS:</strong></p> <p>Arrive and set-up according to the respite site schedule</p> <p>Provide clients with personal care items</p> <p>Ensure clients wake-up, clean-up, and get on the bus back to the drop-In center (GCN)</p> <p>Serve dinner and breakfast (where appropriate)</p> <p> </p> <p>Close the site according to shelter guidelines</p> <p> </p> <p>Communicate any questions or concerns to the shelter coordinator and/or GCN Staff</p> <p> </p> <p>Maintain client confidentiality and privacy</p> <p> </p> <p>Record and track clients' arrival and departure</p> <p> </p> <p>May also complete incident reports as necessary</p> <p> </p>","Grand Central Neighborhood Social Services Corporation collaborates directly with the Emergency Shelter Network through community organizations, churches, synagogues and other places of worships to provide nightly respite beds to clients.",,Grand Central Neighborhood Social Services Corp,/opportunities/8608,ongoing,55 Nassau Ave,,Brooklyn,NY,11222,US,http://www.hoshkids.org,BROOKLYN,40.7233,-73.9522,POINT(-73.952205 40.72332),301,33,569,3066006,3026440045,Greenpoint
"<p><strong>Time Commitment&nbsp;</strong><br /> One shift per week totaling at least four hours;&nbsp;we ask for&nbsp;six-months commitment. Shifts where most help is needed are 3pm-7pm.</p> <p><strong>Requirements </strong></p> <p>Over 16</p> <p>You will need to undergo and clear a background check</p> <p><strong>Training</strong><br /> &bull; Pre on-board training session up to&nbsp;4&nbsp;&nbsp;hours<br /> &bull; On-site, supervised training up to&nbsp;4 hours of specific retail training</p> <ul> <li>Personable and polite, comfortable and friendly interacting with the public</li> <li>Able to stand for a 4 hour shift</li> <li>Able to commit to a 4 hour shift a week for at least 6 months</li> </ul>",9/11 Memorial & Museum: Retail Volunteers,"<p>Help visitors find a keepsake to remember their visit to the 9/11 Memorial &amp; Museum. Honor, remember, and volunteer.</p> <p>The National September 11 Memorial and Museum honors and remembers the nearly 3,000 people killed in the attacks of September 11, 2001 and February 26, 1993. Through their purchase of meaningful keepsakes at the Museum Store, visitors help preserve history and support the Memorial &amp; Museum’s mission. Retail Greeter volunteers are an integral part of our team as we welcome millions of visitors each year from around the world. </p> <p>DETAILS:</p> <p>Retail volunteers assist staff in the Museum Store and at the Retail carts on the Memorial. As a Retail volunteer, you will greet visitors and provide helpful information about products. Responsibilities include:</p> <p>- Provide excellent service to our visitors</p> <p>- Inform visitors about products and store promotions </p> <p>- Share stories behind products as they connect to themes in the Museum, such as recovery efforts and remembrance</p> <p>- Assist with tagging, inventory, folding t-shirts and restocking items</p> <p>With training, you can and teach visitors stories that they will share with family and friends.</p> <p>TIME COMMITMENT:</p> <p>We recommend Retail volunteers work a four-hour shift each week for at least six months. Recommended shift time is 11 a.m. – 3 p.m. or 3 p.m. - 7 p.m. We ask that It you maintain the same shift each week, when possible. The Museum Store is open every day.</p> <p>HOW TO APPLY:</p> <p>Join our exceptional team today. We are seeking volunteers from NYC and the tri-state area, all ages 16+ are welcome. For more information and to apply, please visit <a href=""http://www.911memorial.org/volunteer"">www.911memorial.org/volunteer</a> or contact us at <a href=""mailto:volunteer@911memorial.org"">volunteer@911memorial.org</a></p> <p> </p>","Volunteers assist at our Museum Store and outdoors on the retail-information cart on the Memorial Plaza. Volunteers greet visitors and provide helpful information that enhances their visit, including information on how products link to exhibition themes.",Communities and Neighbors,NATIONAL SEPTEMBER 11 MEMORIAL & MUSEUM,/opportunities/8757,ongoing,120 East 32nd Street,,New York,NY,10016,US,http://www.hoshkids.org,MANHATTAN,40.7454,-73.9813,POINT(-73.981306 40.745377),105,2,72,1018469,1008870087,Murray Hill-Kips Bay
"<p>Must be at least 18 years old.</p> <p>Must be willing &amp; able to pass a background check (working with kids).</p> <p>Must be reliable (i.e. we can count on you to be at almost every practice, etc.).</p> <p>Must have a positive attitude!</p> <p>&nbsp;</p> <p>&nbsp;</p>",Youth Football Coach,"<p>WANTED: Dedicated volunteers to coach youth tackle football for Brooklyn kids ages 8-14. We practice and play our home games at McCarren Park; away games are played throughout the five boroughs. </p> <p> </p> <p>Prior coaching experience NOT necessary. A love of the game, desire to positively mentor kids and a positive attitude are. If that describes you, contact us today!</p>","WANTED: Dedicated volunteers to coach youth tackle football for Brooklyn kids ages 8-14. We practice and play our home games at McCarren Park; away games are played throughout the five boroughs. If you love football, work well with kids and a have positive attitude, contact us today!",Health and Well-Being,Greenpoint Spartans Youth Football,/opportunities/8837,ongoing,9/11 Memorial & Museum,180 Greenwich Street,New York,NY,10007,US,http://www.hoshkids.org,,,,,,,,,,
,ESOL Teacher,"<p>Institute for Immigrant Concerns, a not-for-profit ESOL (English for Speakers of Other Languages) school for adult immigrants and refugees, started in 1997, is looking for ESOL instructors. Must have previous English teaching experience (whether domestic or abroad), certificate strongly preferred. Our students are all motivated and studious adults. Our program leaves more room for the teachers to introduce their own ideas into the curriculum and the education director welcomes his teachers' opinions. Additionally, we have a substantial emphasis on cross cultural awareness. This is the ideal position for retired teachers or students wanting to jumpstart their career in ESL teaching (we've had a fair bit of both in the past!).</p> <p>Many of our students came to this country to escape persecution or harm in their original country and are trying to get a foothold in the US through our jobs program. They want to become citizens. Please join our excellent cause! Bilingual candidates especially Spanish/English, are needed.</p> <p><strong>Please send a resume and cover letter to Donna Kelsh at dkelsh77@gmail.com or Mark Brik at <a href=""mailto:mbrik13@gmail.com"">mbrik13@gmail.com</a>.</strong></p>","Candidates must have previous English teaching experience (whether domestic or abroad), certificate strongly preferred. This is the ideal position for retired teachers or students wanting to jumpstart their career in ESL teaching (we've had a fair bit of both in the past!).",,Institute for Immigrant Concerns,/opportunities/9013,ongoing,235 Berry Street,,Brooklyn,NY,11249,US,http://www.hoshkids.org,BROOKLYN,40.7155,-73.9624,POINT(-73.962354 40.715504),301,34,553,3062611,3023800004,North Side-South Side
"<p>Able to commit at least one evening a week Tuesday, Wednesday, or Thursday from 6:00pm to 9:15pm from mid-September to mid-December.</p>",Operations/Administrative Volunteer,"<p>As an all-volunteer run organization, the Administrative/Operations volunteer role is crucial for CentroNYC to run its weekly evening classes for language learners in NYC. The ideal candidate would be able to commit to one evening a week Tuesday, Wednesday or Thursday from approximately 6:00pm to 9:15pm.</p> <p><strong>Role Responsibilities:</strong></p> <ul> <li>Weekly registration of new students</li> <li>Student Outreach</li> <li>Volunteer Recruitment</li> <li>Managing contact database (Salesforce)</li> <li>General office administration (answering phones, ordering supplies)</li> <li>Coordination of coffee and snack break for students and teachers</li> <li>Developing one 'Intercambio' (Mixer) a month for students and teachers</li> <li>Keeping staff and students up-to-date on schedules and Centro-related news</li> <li>Individual Projects (Anything that will improve overall CentroNYC Operations!)</li> </ul> <p><strong>The Ideal candidate will be:</strong></p> <ul> <li>Passionate</li> <li>Open-Minded</li> <li>Energetic and Positive</li> <li>Interested in non-profit management</li> <li>English-Spanish bilingual is helpful, but not required</li> </ul> <p><strong>What we offer in return:</strong></p> <ul> <li>A fun, welcoming environment</li> <li>An engaging place to make an impact</li> <li>Access to courses offered at CentroNYC</li> <li>The ability to utilize language skills</li> <li>Opportunity to grow within the CentroNYC Organization</li> <li>A strong network of connections, and hopefully... lasting friendships</li> </ul> <p>This position is a volunteer role and the next step for many is teaching or coordinating a program at CentroNYC or beyond!</p> <p>To apply or inquire further, please email <a href=""mailto:info@centronyc.org"">info@centronyc.org</a></p> <p> </p>","CentroNYC is a nonprofit, all volunteer-run language school which also offers English and Spanish classes. We are looking for a talented, passionate, and engaged individual to join our operations team!",Communities and Neighbors,CentroNYC,/opportunities/9023,ongoing,122 W. 27th st.,Fl. 10,New York,NY,10001,US,http://www.project-happy.org,MANHATTAN,40.7458,-73.9918,POINT(-73.991847 40.745782),105,3,95,1015051,1008020056,Midtown-Midtown South
"<p><strong>Qualifications:</strong> Greeters must enjoy meeting and talking with people from diverse cultures and backgrounds. They must be familiar with and upbeat about the neighborhoods that they want to show. Foreign language skills are a plus, especially ASL and Spanish. We are also looking for volunteers who have a familiarity with Harlem and Bronx. It is essential that volunteers be comfortable using public transportation since it is the easiest way to get around New York City and we feel it helps make each visit to New York City even more like a slice of the daily life of a New Yorker.</p> <p>&nbsp;</p> <p><strong>Time Commitment:</strong> Greeters show New York City 7 days a week, 365 days a year. Each greeter must commit to a minimum of 1-3 visits per month, 4 hours per visit.</p>",Volunteer Greeter,"<p><strong>Mission: </strong>To enhance the worldwide image of New York City and enrich the New York experience by connecting visitors with knowledgeable and enthusiastic volunteers.</p> <p> </p> <p><strong>Activities:</strong> Volunteers walk visitors throughout neighborhoods in all five boroughs of New York City that they know well. Visitors are able to experience the ethnic sights and sounds with the greeter and can get a real taste of New York City and its inhabitants. Visits may include from one to six people. Benefits: There is a thrill in making new friends from all over the world. As a greeter you will be able to show off those neighborhoods you know and love. If you speak a foreign language, here is your chance to practice it with native speakers. You will be able to promote a friendly, inviting and accessible image of New York City.</p>",Greeters walk visitors throughout neighborhoods in all five boroughs of New York City that they know well. Visitors are able to experience the ethnic sights and sounds with the greeter and can get a real taste of New York City and its inhabitants.,Communities and Neighbors,Big Apple Greeter,/opportunities/9081,ongoing,60 West End Ave,,Brooklyn,NY,11235,US,http://www.grandcentralneighborhood.org,BROOKLYN,40.5802,-73.9535,POINT(-73.953528 40.580186),315,48,61004,3326901,3087130077,Brighton Beach
